State,Gender,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Burundi,Females,,,,,,,,,,,,,,  97 ,  102 ,  78 ,  123
Burundi,Males,,,,,,,,,,,,,,  423 ,  462 ,  383 ,  512
Comoros,Females,,,,,,,,,,,,,,,,  14 ,
Comoros,Males,,,,,,,,,,,,,,,,  46 ,
Djibouti,Females,,,,,,,,,,,,,,,,  11 ,
Djibouti,Males,,,,,,,,,,,,,,,,  49 ,
Eritrea,Females,,,,,,,,,,,,,,,,  83 ,
Eritrea,Males,,,,,,,,,,,,,,,,  307 ,
Ethiopia,Females,,,,,,,,,,,,,,,,  1932 ,
Ethiopia,Males,,,,,,,,,,,,,,,,  5620 ,
Kenya,Females,,,,,,,,,,,,,,,  522 ,  611 ,  639
Kenya,Males,,,,,,,,,,,,,,,  1783 ,  1650 ,  1724
Madagascar,Females,,,,,,,,,,,,,,,,  395 ,
Madagascar,Males,,,,,,,,,,,,,,,,  1467 ,
Malawi,Females,,,,,,,,,,,,,  63 ,,,,
Malawi,Males,,,,,,,,,,,,,  216 ,,,,
Mauritius,Females,  11 ,,,  11 ,  7 ,  13 ,  13 ,  12 ,  18 ,  16 ,  8 ,  8 ,  10 ,  11 ,  8 ,  6 ,  10
Mauritius,Males,  15 ,,,  28 ,  28 ,  24 ,  37 ,  33 ,  30 ,  22 ,  25 ,  26 ,  19 ,  24 ,  11 ,  15 ,  13
Mozambique,Females,,,,,,,,,,,,  142 ,,,,,
Mozambique,Males,,,,,,,,,,,,  707 ,,,,,
Réunion,Females,,,,,  10 ,  7 ,  8 ,  8 ,  5 ,  6 ,,,,,,,
Réunion,Males,,,,,  13 ,  18 ,  11 ,  16 ,  14 ,  9 ,,,,,,,
Rwanda,Females,,,,,,,,,,,,,,,,  65 ,
Rwanda,Males,,,,,,,,,,,,,,,,  228 ,
Seychelles,Females,,,,,  2 ,,  3 ,  1 ,  1 ,  3 ,  1 ,  5 ,  0 ,  7 ,  2 ,,
Seychelles,Males,,,,,  8 ,,  6 ,  7 ,  5 ,  11 ,  8 ,  11 ,  4 ,  11 ,  14 ,,
Somalia,Females,,,,,,,,,,,,,,,,  151 ,
Somalia,Males,,,,,,,,,,,,,,,,  448 ,
South Sudan,Females,,,,,,,,,,,,,  333 ,,,,
South Sudan,Males,,,,,,,,,,,,,  1171 ,,,,
Uganda,Females,,,,,,,,,  385 ,,  600 ,  743 ,  741 ,  791 ,  841 ,,
Uganda,Males,,,,,,,,,  2408 ,,  2560 ,  3010 ,  3325 ,  3066 ,  3632 ,,
United Republic of Tanzania,Females,,,,,,,,,,,  550 ,  557 ,  521 ,  494 ,  879 ,  671 ,
United Republic of Tanzania,Males,,,,,,,,,,,  3338 ,  3592 ,  3571 ,  3203 ,  3023 ,  3075 ,
Zambia,Females,,,,,,,,,,,,,,,,  168 ,
Zambia,Males,,,,,,,,,,,,,,,,  685 ,
Zimbabwe,Females,,,,,,,,,,,,,  154 ,,,,
Zimbabwe,Males,,,,,,,,,,,,,  827 ,,,,
Angola,Females,,,,,,,,,,,,,  263 ,,,,
Angola,Males,,,,,,,,,,,,,  954 ,,,,
Cameroon,Females,,,,,,,,,,,,,  161 ,,,,
